124,2011-04-30 00:08:00,42.18056 93.30609,Good talk by Matthew Fabb - Flash Player 10.1 - Crisis on Infinite Platforms #nerdcore #FITO
124,2011-04-30 00:09:00,42.21653 93.35762,POR MAS DIFICIL QUE SE NOS PRESENTE UNA SITUACION NUNCA DEJEMOS DE BUSCAR LA SALIDA NI DE LUCHAR ASTA EL ULTIMO MOMENTO DE CRISIS ......
47,2011-04-30 00:37:00,42.22921 93.25617,Celebrating Italy  With a Wink At Chinese Fare
66,2011-04-30 00:57:00,42.2466 93.35123,#iphone4 is definitely a pretty good hand warmer.
65,2011-04-30 01:01:00,42.20916 93.34364,#NowPlaying Identity Crisis/CaYOCO
42,2011-04-30 02:17:00,42.17525 93.33565,Life is getting tough N Love is killing me. Do not know what to do. ah. sigh sigh
158,2011-04-30 04:37:00,42.23717 93.31009,Loool Big brother's lie detector test is wack jor
158,2011-04-30 04:37:00,42.25722 93.48583,Is it possible for people to have a case of the Sundays?
16,2011-04-30 04:42:00,42.27137 93.31448,Ned's is my dance music.
16,2011-04-30 04:42:00,42.26135 93.5058,Can we get some music in the front room???? I mean plz... :(
61,2011-04-30 06:49:00,42.24837 93.42272,So catching up with tweets - WHY is Nick Johnson still in the dugout?!?! We have Berkman now...I don't need to keep seeing his face.
183,2011-04-30 07:49:00,42.23304 93.33325,#zg10 voor een sociale eenpitter is maarten geen slechte gesprekspartner - misschien juist omdat alle energie van 1 kant komt?
104,2011-04-30 08:19:00,42.16316 93.55014,Pohon natal dari keyboard PC juga ada
31,2011-04-30 08:39:00,42.29761 93.25976,Being bored is so BORINGGGGGGGGG. -__-
40,2011-04-30 09:30:00,42.23186 93.32926,Tomorrow is my daddys birthday... & I'm not there...
75,2011-04-30 11:13:00,42.21034 93.34444,&lt;----- she is starving like Marvin  girlll
75,2011-04-30 11:14:00,42.29172 93.49262,THIS IS HOW I LOOK AT THE WORD NETWORK  NET-MONEY BEFORE TAXES WORK-MONEY YOU GONNA GET IN GROSS INCOME  HA LETS NETWORK
170,2011-04-30 13:26:00,42.23334 93.35362,Hubby keeps wielding scissors 'just to tidy those bits up'. THEN got his bloody penknife out in Morrisons to do same! He is man possesse
70,2011-04-30 14:09:00,42.23805 93.33046,You cannot dream yourself into a character: you must hammer and forge yourself into one. Henry D. Thoreau
131,2011-04-30 14:18:00,42.21889 93.35762,Just back in time to watch #sharkweek Life is good.
131,2011-04-30 14:20:00,42.23658 93.34723,Today is a great day.. I'm not gonna let anything change that..
153,2011-04-30 14:50:00,42.17938 93.41673,#GhettoCrayonColors Roof Roof....like Q dog purple
186,2011-04-30 15:37:00,42.20798 93.42352,Dream Catcher
24,2011-04-30 15:57:00,42.2124 93.35402,ooh i got the twitter is down message for a sec! cool.
72,2011-04-30 16:39:00,42.21535 93.39317,'How Many More Casinos Does Vegas Need?'
169,2011-04-30 16:49:00,42.21771 93.5058,So exhausted from work.
15,2011-04-30 17:19:00,42.21889 93.39516,Haha its so funny the more you read about BUSH he was a BLUEPRINT LIBERAL...but yet he is too blame...DIG UP REAGAN AND REJOICE
5,2011-04-30 17:20:00,42.29997 93.51099,Lazy Sunday while Ms gone to work lol! Duvet day on the settee watching hollyoaks n eating chocolate puddin yumyum
51,2011-04-30 18:01:00,42.20444 93.32567,Recruit & Represent;The FAB Co. experience a full scale on-line direct sale beauty management business. Membership is free&exclusive.
159,2011-04-30 18:28:00,42.29732 93.52777,I went around this weekend giving everyone a spirit animal.  Apparently mine is a bunny.
84,2011-04-30 19:34:00,42.21034 93.34404,im also excited for..... HASH!! My lover is going to make some  im gonna help out so i can learn a thing or 2
165,2011-04-30 19:41:00,42.25221 93.54215,This is ridiculous. Okayy time to watch Harry Potter and the Goblet of Fire
183,2011-04-30 20:01:00,42.22272 93.41913,Soho is officially hood the coco cherry mango lady is down here
95,2011-04-30 21:03:00,42.22538 93.37,I kno this is not wat I typically want. Imma go getta & I work hard fo mine. But I need a hero to come save me from my life. #TakeMeAway
95,2011-04-30 21:03:00,42.21624 93.34044,Dit beschrijft de tristesse van Geleen-Lutterade misschien het best: de zonnebankstudio alhier is tevens een 'entertainmentclub'.
57,2011-04-30 21:09:00,42.17761 93.25098,Watching Ricky Gervais' 'Extras'. Love it.  His 'agent' on the show is wonderfully punchable.
166,2011-04-30 21:28:00,42.19707 93.42312,LIL BABY KAMRYN IS JUST TOO CUTE... GLAD ITS NOT MY CHILD...AHAHA
166,2011-04-30 21:28:00,42.25692 93.34124,Okay. What's your standards? How many people is too much?
92,2011-04-30 21:40:00,42.20444 93.38917,Location service is currently unavaible.
39,2011-04-30 22:42:00,42.2814 93.38238,That Ferrari is goin 2 be mine.... #TopGear
39,2011-04-30 22:43:00,42.21712 93.34044,Holy s this is a nice hotel
114,2011-04-30 23:02:00,42.19648 93.42512,BP is getting a $10 Billion tax credit? WTF???
68,2011-04-30 23:28:00,42.17673 93.48503,#dontyoujusthateitwhen you have flipped a million channels only to find theres still nothing on tv?
65,2011-04-30 23:39:00,42.27815 93.41354,#dontyoujusthateitwhen people are not Calling 1-888-90-STAND to donate and #StandUp2Cancer !
99,2011-04-30 23:49:00,42.23776 93.49661,This weekend's goal: finish cleaning up my room so that it looks like an actual grownup's bedroom. Chance of success: 62%.
124,2011-05-01 00:08:00,42.16434 93.4391,en crisis!!! no se que hacer!!!
181,2011-05-01 03:24:00,42.21476 93.32686,Have your children read 'The Yearling?' It is a tender story of growing up and getting wiser.  Check it out.
14,2011-05-01 04:21:00,42.23982 93.36041,Ticket fiesta on the highway. seen four cars in 10 seconds
73,2011-05-01 05:28:00,42.21506 93.23939,the oil spill is pissin me off because im payin them gas money to do nothing it it
73,2011-05-01 05:28:00,42.2298 93.55453,IS THE OIL SPILL FIXED YET.!! NO LAGEITLY IS IT?? PFFT....
167,2011-05-01 06:17:00,42.2068 93.34883,When he looks at her/ he sometimes forgets to breathe/ so lovely is she. #haiku
49,2011-05-01 06:57:00,42.19383 93.52138,**Morning Glory with my Sunday's Best....Just for the record..Im a week older & feeling better than ever...so you know..GOD IS GOOD**
150,2011-05-01 07:15:00,42.2124 93.39956,I wonder how much better #ldsconf streaming would work if all those who have access to it on TV watched there instead. Some can't do tha
3,2011-05-01 07:18:00,42.21624 93.48623,Up and Running  going to be sharing some insight from my experience as an email marketer. Tweeting more soon.
40,2011-05-01 09:30:00,42.23628 93.33765,programming while listening to 'Sister Ray' is not a good idea
40,2011-05-01 09:31:00,42.19884 93.31848,is miley smokin?
153,2011-05-01 09:34:00,42.20739 93.35003,Drinks and a fire :)
23,2011-05-01 09:41:00,42.23009 93.34923,La-Tweeze Illuminating Tweezers are back at Hair Fitness! Grab one today before they are gone
121,2011-05-01 10:12:00,42.24189 93.33046,Battery Dead? Look Before You Jump
131,2011-05-01 10:15:00,42.23658 93.33325,watching ' The Jacksons: An American Dream ' it is such a good movie
69,2011-05-01 11:46:00,42.23687 93.36481,My hair is getting static n standin up :(
43,2011-05-01 12:18:00,42.21712 93.47744,So much going on today  building collapse  Crown Fire  sigalerts  bus wreck with Metro Blue Line  we're all over it here at KTLA!
79,2011-05-01 13:14:00,42.25604 93.44589,haha.~ im craving for kfc's chicken. m'sia one is the best. but sadly  im in singapore:(
151,2011-05-01 13:56:00,42.22007 93.35402,I love that Arcade Fire is a trending topic&lt;3
70,2011-05-01 14:09:00,42.23186 93.33605,the number one question everyone has..
103,2011-05-01 14:14:00,42.22567 93.32766,..I switched to the #Boondocks
12,2011-05-01 15:27:00,42.21004 93.3708,EDITORIAL; For Senator and Governor in Connecticut
23,2011-05-01 15:29:00,42.23216 93.36081,i wanna go to the hookah bar!!!
121,2011-05-01 15:40:00,42.22044 93.39424,About to go to basketball game
68,2011-05-01 16:08:00,42.22567 93.20385,Haha it was awsome when they set the fire alarm off xx lol
116,2011-05-01 16:08:00,42.2124 93.34763,You know  idk but I am tired. And I've been tryiing to tke a nap but fml is just too  addicting
121,2011-05-01 16:56:00,42.21181 93.34404,#np chocolate love - snsd
135,2011-05-01 17:33:00,42.23923 93.33885,LMFAO THEY'VE SET OFF THE FIRE ALARM. LMFAO. I'M DYING HERE. #BB11
159,2011-05-01 18:32:00,42.25958 93.51938,now all i need is a conclusion. YOU CAN DO IT KATHLEEN!
23,2011-05-01 18:50:00,42.21889 93.47425,All weekend shopping completed .. Time fire up the grill for some dinner .. Annie and joe style .. Da best !!!!!!
23,2011-05-01 19:23:00,42.20326 93.50221,Fresno studios hit me up man!! shieet i got this fire ass track  yall just dont know till you hit record!!
54,2011-05-01 19:30:00,42.26429 93.40515,SUSTAINABLE TECH; Getting Over Our Two-Year Itch
163,2011-05-01 20:35:00,42.2124 93.37879,so far this is a very tame episode of #trueblood...hmmmmmm
151,2011-05-01 20:37:00,42.22302 93.30689,Time to go dark with our 'Hurricane' fan vid.
14,2011-05-01 20:50:00,42.21358 93.38198,ASIA - PACIFIC ISSUE COMINGS &amp; GOINGS; DATEBOOK
166,2011-05-01 21:28:00,42.23628 93.3712,At the #3horserace #manchustings I thought; Ed M is really Libdem  Dav M is a tory and only Andy Burnham is true Labour #labourleader
166,2011-05-01 21:28:00,42.24542 93.34284,Scanning photos for a friend. Digitizing and uploading photos to a server is a great way to preserve in case of fire  flood  or hurrican
166,2011-05-01 21:28:00,42.19058 93.45587,hokey pokey is the best dance ever
